neighbourhood_group,room_type,minimum_nights,price
Manhattan,Entire home/apt,30,103.0
Brooklyn,Private room,30,50.0
Manhattan,Private room,30,60.0
Manhattan,Private room,30,99.0
Brooklyn,Entire home/apt,30,125.0
Brooklyn,Entire home/apt,30,338.0
Brooklyn,Entire home/apt,30,174.0
Manhattan,Entire home/apt,30,217.0
Queens,Entire home/apt,30,115.0
Manhattan,Private room,30,74.0
Manhattan,Entire home/apt,1,302.0
Manhattan,Entire home/apt,30,86.0
Brooklyn,Entire home/apt,30,125.0
Brooklyn,Entire home/apt,40,78.0
Brooklyn,Private room,30,64.0
Manhattan,Entire home/apt,30,105.0
Brooklyn,Private room,30,124.0
Manhattan,Entire home/apt,30,179.0
Manhattan,Entire home/apt,65,99.0
Manhattan,Entire home/apt,75,103.0
Manhattan,Private room,30,100.0
Brooklyn,Entire home/apt,30,149.0
Manhattan,Entire home/apt,30,169.0
Manhattan,Private room,30,165.0
Manhattan,Entire home/apt,30,175.0
Manhattan,Private room,30,955.0
Manhattan,Entire home/apt,30,182.0
Manhattan,Entire home/apt,30,194.0
Manhattan,Entire home/apt,30,197.0
Brooklyn,Entire home/apt,30,356.0
Queens,Entire home/apt,30,155.0
Brooklyn,Entire home/apt,60,419.0
Manhattan,Private room,30,58.0
Bronx,Entire home/apt,30,88.0
Queens,Private room,30,64.0
Bronx,Private room,2,88.0
Manhattan,Entire home/apt,30,475.0
Queens,Entire home/apt,30,113.0
Queens,Private room,30,57.0
Brooklyn,Private room,30,67.0
Manhattan,Entire home/apt,30,395.0
Queens,Private room,2,81.0
Brooklyn,Private room,30,100.0
Brooklyn,Entire home/apt,30,161.0
Manhattan,Entire home/apt,30,240.0
Manhattan,Entire home/apt,30,530.0
Manhattan,Entire home/apt,30,599.0
Manhattan,Entire home/apt,31,120.0
Manhattan,Private room,30,108.0
Queens,Entire home/apt,30,167.0
Brooklyn,Entire home/apt,30,119.0
Manhattan,Entire home/apt,30,240.0
Brooklyn,Entire home/apt,30,135.0
Brooklyn,Entire home/apt,30,175.0
Brooklyn,Entire home/apt,30,199.0
Brooklyn,Entire home/apt,30,120.0
Manhattan,Entire home/apt,30,191.0
Brooklyn,Private room,30,72.0
Brooklyn,Entire home/apt,30,148.0
